y,Ux
0.0125,-0.00847711
0.0375,-0.0235037
0.0625,-0.0371362
0.0875,-0.0497809
0.1125,-0.0617642
0.1375,-0.0733584
0.1625,-0.0847833
0.1875,-0.0962062
0.2125,-0.10774
0.2375,-0.119438
0.2625,-0.131292
0.2875,-0.14322
0.3125,-0.155067
0.3375,-0.166596
0.3625,-0.177494
0.3875,-0.187371
0.4125,-0.195778
0.4375,-0.20222
0.4625,-0.20619
0.4875,-0.207192
0.5125,-0.204787
0.5375,-0.198622
0.5625,-0.188459
0.5875,-0.174199
0.6125,-0.155878
0.6375,-0.133653
0.6625,-0.107757
0.6875,-0.0784314
0.7125,-0.0458325
0.7375,-0.00990326
0.7625,0.0297831
0.7875,0.07421
0.8125,0.125113
0.8375,0.185136
0.8625,0.257839
0.8875,0.347406
0.9125,0.45783
0.9375,0.591431
0.9625,0.746721
0.9875,0.915991
