comparison_status,gate,model,passed,quality_gate_status
quality_incomplete_comparison,blockMesh,kEpsilon,True,incomplete_convergence
quality_incomplete_comparison,checkMesh,kEpsilon,True,incomplete_convergence
quality_incomplete_comparison,pair_audit,kEpsilon,True,incomplete_convergence
quality_incomplete_comparison,simpleFoam,kEpsilon,True,incomplete_convergence
quality_incomplete_comparison,no_solver_failures,kEpsilon,True,incomplete_convergence
quality_incomplete_comparison,final_fields,kEpsilon,True,incomplete_convergence
quality_incomplete_comparison,residual_parser,kEpsilon,True,incomplete_convergence
quality_incomplete_comparison,flow_balance,kEpsilon,True,incomplete_convergence
quality_incomplete_comparison,yPlus,kEpsilon,True,incomplete_convergence
quality_incomplete_comparison,wallShearStress,kEpsilon,True,incomplete_convergence
quality_incomplete_comparison,patch_pressure,kEpsilon,True,incomplete_convergence
quality_incomplete_comparison,simple_solution_converged,kEpsilon,False,incomplete_convergence
quality_incomplete_comparison,blockMesh,kOmegaSST,True,incomplete_convergence
quality_incomplete_comparison,checkMesh,kOmegaSST,True,incomplete_convergence
quality_incomplete_comparison,pair_audit,kOmegaSST,True,incomplete_convergence
quality_incomplete_comparison,simpleFoam,kOmegaSST,True,incomplete_convergence
quality_incomplete_comparison,no_solver_failures,kOmegaSST,True,incomplete_convergence
quality_incomplete_comparison,final_fields,kOmegaSST,True,incomplete_convergence
quality_incomplete_comparison,residual_parser,kOmegaSST,True,incomplete_convergence
quality_incomplete_comparison,flow_balance,kOmegaSST,True,incomplete_convergence
quality_incomplete_comparison,yPlus,kOmegaSST,True,incomplete_convergence
quality_incomplete_comparison,wallShearStress,kOmegaSST,True,incomplete_convergence
quality_incomplete_comparison,patch_pressure,kOmegaSST,True,incomplete_convergence
quality_incomplete_comparison,simple_solution_converged,kOmegaSST,False,incomplete_convergence
